des,type,p,q,soi,a,e,i,q
316179, scattering,0,0, S,30.641,0.313,19.235,21.050367
328884, centaur,0,0, S,13.42,0.32,24.905,9.1256
330836, centaur,0,0, S,21.462,0.419,17.877,12.469422
332685, jc,0,0, S,12.695,0.445,23.287,7.045725
336756, scattering,0,0, I,283.929,0.967,140.78,9.369657
341275, centaur,0,0, S,19.917,0.233,28.764,15.276339
341520, resonant,3,2, S,39.216,0.264,11.283,28.862976
342842, jc,0,0, S,11.585,0.44,105.072,6.4876
346889, jc,0,0, S,10.792,0.444,19.889,6.000352
349933, jc,0,0, S,12.045,0.46,30.99,6.5043
353222, scattering,0,0, S,122.266,0.891,30.795,13.326994
363330, classical, m,0, S,43.802,0.048,3.076,41.699504
363401, classical, m,0, S,45.589,0.131,2.297,39.616841
364171, classical, m,0, S,44.687,0.08,3.549,41.11204
382004, jc,0,0, S,19.755,0.688,27.014,6.16356
385185, resonant,3,2, S,39.204,0.197,3.714,31.480812
385191, classical, m,0, S,41.308,0.026,12.734,40.233992
385194, classical, m,0, S,43.393,0.05,0.789,41.22335
385199, classical, m,0, S,45.349,0.046,2.152,43.262946
385201, classical, m,0, S,43.165,0.073,12.41,40.013955
385266, classical, m,0, S,42.618,0.096,1.8,38.526672
385362, classical, m,0, S,46.245,0.144,3.701,39.58572
385363, classical, m,0, S,44.861,0.072,3.932,41.631008
385437, classical, m,0, S,44.148,0.079,1.102,40.660308
385445, resonant,3,2, S,39.422,0.15,3.664,33.5087
385446, resonant,7,4, I,43.715,0.113,2.667,38.775205
385447, classical, m,0, S,43.815,0.029,4.46,42.544365
385458, resonant,17,9, I,45.964,0.17,5.081,38.15012
385527, resonant,7,4, S,43.78,0.243,3.465,33.14146
385528, detached,0,0, S,56.248,0.339,6.919,37.179928
385533, resonant,12,7, I,43.034,0.114,23.862,38.128124
385571, resonant,1,1, S,30.15,0.027,1.432,29.33595
385607, resonant,3,1, I,62.691,0.344,25.038,41.125296
385695, resonant,1,1, S,30.138,0.053,5.252,28.540686
386723, classical, m,0, S,44.334,0.144,29.091,37.949904
386968, centaur,0,0, S,21.524,0.458,2.036,11.666008
389820, jc,0,0, S,8.911,0.377,6.442,5.551553
395699, centaur,0,0, S,15.021,0.372,12.678,9.433188
408832, classical, m,0, S,44.088,0.04,2.151,42.32448
413666, scattering,0,0, I,35.391,0.682,6.951,11.254338
415720, classical, m,0, S,43.045,0.07,7.737,40.03185
416400, classical, m,0, S,44.222,0.133,27.421,38.340474
418993, scattering,0,0, S,351.828,0.969,68.015,10.906668
420356, resonant,22,13, I,42.704,0.008,1.094,42.362368
427507, centaur,0,0, S,22.026,0.366,22.475,13.964484
427581, resonant,5,4, S,34.871,0.093,3.49,31.627997
427614, classical, m,0, S,40.099,0.054,23.913,37.933654
432949, resonant,5,4, S,34.875,0.164,28.582,29.1555
434194, classical, m,0, S,42.565,0.048,2.272,40.52188
434390, detached,0,0, S,55.201,0.319,5.138,37.591881
434709, resonant,5,3, S,42.172,0.228,17.916,32.556784
437313, jc,0,0, S,12.921,0.583,8.985,5.388057
437360, detached,0,0, S,111.213,0.672,31.143,36.477864
437871, classical, m,0, S,42.502,0.072,21.734,39.441856
437915, resonant,9,5, S,44.481,0.137,6.587,38.387103
438028, resonant,3,2, S,39.411,0.279,3.134,28.415331
439858, classical, m,0, S,42.631,0.041,3.187,40.883129
443843, classical, m,0, S,46.444,0.118,10.636,40.963608
444018, classical, m,0, S,44.153,0.044,2.821,42.210268
444025, classical, m,0, S,43.964,0.046,3.316,41.941656
444030, classical, m,0, S,43.437,0.15,31.228,36.92145
444745, resonant,3,2, S,39.348,0.183,15.081,32.147316
445473, scattering,0,0, I,153.436,0.776,4.511,34.369664
447178, centaur,0,0, S,28.848,0.519,35.458,13.875888
449097, centaur,0,0, S,20.255,0.377,15.413,12.618865
450265, resonant,3,2, S,39.184,0.255,4.146,29.19208
451657, detached,0,0, S,76.545,0.51,23.684,37.50705
455171, classical, m,0, I,45.976,0.12,2.087,40.45888
455206, classical, m,0, S,46.67,0.124,2.814,40.88292
455209, classical, m,0, S,45.094,0.087,1.708,41.170822
455502, resonant,3,2, S,39.232,0.223,12.045,30.483264
456826, resonant,3,2, S,39.327,0.276,28.539,28.472748
459865, centaur,0,0, S,13.436,0.373,22.521,8.424372
459870, jc,0,0, S,10.896,0.402,165.563,6.515808
459971, centaur,0,0, S,13.279,0.564,3.941,5.789644
463368, centaur,0,0, S,29.233,0.31,15.067,20.17077
463663, centaur,0,0, S,18.364,0.62,14.051,6.97832
468422, classical, m,0, S,43.932,0.029,0.757,42.657972
468861, scattering,0,0, S,173.783,0.95,125.367,8.68915
469306, resonant,7,4, SH,43.659,0.144,25.475,37.372104
469333, detached,0,0, I,54.317,0.342,18.413,35.740586
469361, classical, m,0, S,43.158,0.12,17.136,37.97904
469362, resonant,3,2, S,39.556,0.283,17.519,28.361652
469372, resonant,3,2, S,39.378,0.111,22.352,35.007042
469420, resonant,5,3, S,42.2,0.217,2.608,33.0426
469421, resonant,3,2, S,39.39,0.11,18.1,35.0571
469438, classical, m,0, S,44.011,0.091,2.182,40.005999
469442, scattering,0,0, S,34.422,0.59,7.711,14.11302
469505, resonant,2,1, S,47.931,0.252,3.385,35.852388
469506, resonant,3,2, S,39.504,0.215,1.911,31.01064
469509, classical, m,0, S,44.027,0.067,1.042,41.077191
469514, classical, m,0, S,44.384,0.069,2.415,41.321504
469584, resonant,5,3, S,42.164,0.153,2.386,35.712908
469610, classical, m,0, S,43.273,0.028,1.485,42.061356
469615, classical, m,0, S,40.545,0.058,26.122,38.19339
469704, resonant,3,2, S,39.433,0.15,1.774,33.51805
469705, classical, m,0, S,44.008,0.09,2.867,40.04728
469707, resonant,3,2, S,39.429,0.236,14.687,30.123756
469708, resonant,3,2, S,39.329,0.325,18.251,26.547075
469750, scattering,0,0, S,174.543,0.832,6.175,29.323224
469987, resonant,3,2, S,39.438,0.302,12.45,27.527724
470027, classical, m,0, S,41.906,0.141,17.172,35.997254
470083, resonant,2,1, S,47.779,0.369,13.591,30.148549
470308, resonant,3,2, S,39.427,0.029,18.156,38.283617
470309, detached,0,0, S,46.15,0.49,44.893,23.5365
470316, detached,0,0, S,49.651,0.286,21.67,35.450814
470443, classical, m,0, S,45.954,0.067,22.873,42.875082
470523, resonant,5,3, S,42.301,0.16,15.921,35.53284
